State,Year2022,Year2020
Arkansas,30,27.8
Mississippi,29.1,27.9
Louisiana,27.8,25.7
Oklahoma,27.4,25
Alabama,25.6,24.8
West Virginia,25.2,22.5
Kentucky,24.9,23.8
New Mexico,24.4,21.9
Texas,24,22.4
Tennessee,23.7,23.3
South Carolina,21.6,19.3
Missouri,20.3,18.8
Indiana,20.3,18.7
Georgia,19.7,18.2
Wyoming,19.4,18.1
South Dakota,19.2,18.7
Kansas,19.2,18.1
Nevada,18.9,16.8
Ohio,18.8,17.6
Arizona,18.5,16.6
Alaska,18.3,17.7
North Carolina,18.2,17.3
Montana,16.3,13.2
Florida,16.2,15.2
Hawaii,15.7,13
North Dakota,15.6,13.7
Nebraska,15.3,15.1
Michigan,15.1,13.5
Idaho,14.9,14.6
Delaware,14.9,14.6
Illinois,14.6,13.6
Iowa,14.1,13.3
Maryland,13.9,13.1
Colorado,13.9,12.5
Virginia,13.6,13.1
Pennsylvania,13.3,12.6
Washington,12.7,11.3
Wisconsin,12.5,11.5
California,12.4,11
Oregon,12.1,10.1
Utah,12,10.8
New York,11.4,10
Minnesota,10.1,9.1
Rhode Island,10,9.1
New Jersey,10,9.2
Maine,9.1,10.6
Connecticut,7.7,7.6
Vermont,7.6,7
Massachusetts,6.9,6.1
New Hampshire,6.6,6.6